Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
13.7572,159.642,2.49855e+18,90.6781,95.862,102.252,115.755,128.805,146.936,163.568,163.561,119.487,58.3721,301.419
14.1534,159.703,2.19874e+18,93.4847,103.562,114.416,129.844,136.472,132.813,112.786,90.1546,74.5812,50.3372,299.41
14.3518,159.734,2.64353e+18,94.3466,103.372,114.503,133.676,152.714,170.975,170.862,147.796,106.554,56.3247,300.827
13.7891,159.231,2.54264e+18,102.08,125.897,153.474,186.49,189.432,152.22,102.617,73.2958,63.7456,48.2209,301.288
13.9872,159.261,2.35877e+18,94.6037,109.682,126.779,149.086,158.877,148.522,116.412,87.3718,71.9703,49.9356,298.827
14.1851,159.291,2.355e+18,91.9005,100.373,110.642,126.616,138.567,146.307,138.445,117.714,90.0908,53.4912,299.146
14.3834,159.321,2.49702e+18,92.4943,100.074,109.828,125.977,140.308,154.453,156.738,141.399,104.995,56.1972,300.082
13.8197,158.819,2.46661e+18,91.9972,99.1893,107.752,123.12,137.114,151.415,154.787,141.117,105.601,57.0592,301.016
14.0184,158.848,2.42817e+18,88.6729,92.0151,97.2993,108.332,118.805,134.873,153.967,166.769,132.197,61.6468,300.196
14.2171,158.878,2.33109e+18,90.8327,97.0514,105.015,118.054,128.679,139.351,141.017,129.456,99.4357,55.4844,299.49
14.4162,158.908,2.46549e+18,92.8706,101.884,113.125,129.794,144.252,155.662,150.449,128.368,95.5521,54.2975,299.462
13.8492,158.402,2.43051e+18,95.558,108.128,121.984,141.53,154.572,155.183,133.25,104.458,81.4762,52.1965,300.831
14.0496,158.431,2.49068e+18,95.2975,108.752,124.569,146.046,160.878,161.714,137.85,106.757,82.4369,52.2172,300.041
14.2499,158.46,2.43865e+18,95.5889,109.982,127.043,148.388,160.912,156.801,127.994,96.781,76.6446,50.8249,299.578
14.4506,158.49,2.45404e+18,94.6497,108.045,124.42,145.35,159.458,159.031,133.736,102.725,79.8043,51.2946,298.971
13.8781,157.975,2.2919e+18,93.7152,104.271,115.766,131.718,141.719,142.12,123.724,99.081,79.2571,51.9236,300.125
14.081,158.004,2.44878e+18,92.2532,99.9509,109.507,124.457,137.655,150.267,151.051,136.044,102.493,56.4042,300.483
14.2839,158.033,2.50553e+18,94.4097,105.305,118.636,137.057,152.03,160.515,148.552,122.426,91.7219,53.9217,300.248
14.4872,158.063,2.45093e+18,88.4867,91.0436,96.2422,106.167,115.808,132.169,156.553,178.304,138.737,60.8431,299.505
13.9069,157.535,2.21679e+18,84.2858,83.0816,84.8517,91.578,97.333,108.811,130.632,165.688,147.973,61.8432,299.85
14.1134,157.564,2.3704e+18,87.0947,88.5245,92.5602,101.396,109.809,124.912,149,174.869,138.448,59.2075,300.106
14.3199,157.593,2.47527e+18,95.0051,106.647,120.872,139.843,154.325,159.128,141.624,113.16,86.0398,52.8386,300.264
14.5268,157.622,2.5079e+18,90.0705,94.1313,100.716,111.831,122.59,139.335,159.583,173.283,137.972,62.36,300.168
13.9362,157.077,2.18872e+18,92.9992,103.28,114.52,128.456,134.737,131.43,112.43,90.4545,74.8794,51.2038,299.423
14.1474,157.106,2.30405e+18,92.2078,100.252,109.985,123.177,132.787,139.208,132.872,115.576,90.277,54.1774,299.828
14.3585,157.135,2.47206e+18,96.0654,109.932,126.706,147.136,160.772,159.202,133.13,102.245,80.0407,51.8856,300.029
14.57,157.164,2.47967e+18,93.3095,102.464,114.11,129.611,143.104,154.148,150.468,131.486,99.1993,55.5372,299.616
13.9656,156.594,2.18437e+18,91.6586,99.3381,108.412,120.6,127.767,130.006,119.347,101.624,82.0686,52.7201,299.698
14.3996,156.652,2.40418e+18,92.184,100.171,110.413,124.083,135.846,146.626,145.867,130.446,97.4262,54.3734,299.488
14.6171,156.681,2.47337e+18,91.8336,98.1628,106.961,119.477,131.26,145.954,155.781,151.719,113.495,56.9151,300.022
13.9684,156.338,2.17376e+18,89.1899,94.576,101.667,112.094,119.799,126.795,125.365,114.756,91.4364,54.2995,298.435
14.1889,156.368,2.2248e+18,90.4755,96.5138,104.444,115.313,123.524,130.829,128.861,117.124,92.2485,54.139,299.228
14.4093,156.397,2.34591e+18,92.4544,100.624,110.878,123.87,134.152,142.223,137.55,120.978,93.0154,54.099,299.638
